no_Trans;no_item;item;kategori;ket;tgl;harga;qty;jumlah;diskon;total
199465;mic 2012020;grendel pintu AC;grendel pintu;grendel pintu kembar;06/11/2023;40000;1;40000;30%;28000
199465;mic 2009040;handle tanam p.geser 1;handle tanam pintu geser;handle tanam pintu geser;06/11/2023;39000;4;156000;30%;109200
199466;mic 1500056;engsel pintu & jendela;engsel pintu & jendela;engsel pintu & jendela;07/11/2023;159000;5;795000;40%;477000
199466;mic 0400510;gagang pintu C;gagang pintu;gagang pintu;07/11/2023;604000;2;1208000;PROMO;458000
199467;mic 0101080;lockcase 2;lockcase;lockcase/body kunci;07/11/2023;148000;1;148000;40%;88800
199468;mic 0506107;gagang pintu S;gagang pintu;gagang pintu sedang(pintu 1 daun);08/11/2023;283000;1;283000;40%;169800
199469;mic 0506101;gagang pintu S;gagang pintu;gagang pintu sedang(pintu 1 daun);08/11/2023;342000;1;342000;50%;171000
199470;mic 1500050;engsel pintu & jendela;engsel pintu & jendela;engsel pintu & jendela;08/11/2023;73000;2;146000;40%;87600
199470;mic 2012020;grendel pintu AC;grendel pintu;grendel pintu kembar;08/11/2023;40000;2;80000;30%;56000
199471;mic 0400510;gagang pintu C;gagang pintu;gagang pintu;09/11/2023;604000;1;604000;PROMO;229000
199472;mic 0400900;gagang pintu C;gagang pintu;gagang pintu;09/11/2023;536500;1;536500;PROMO;175000
199472;mic 0506100;gagang pintu S;gagang pintu;gagang pintu sedang(pintu 1 daun);09/11/2023;342000;1;342000;50%;171000
199473;mic 2004000;grendel jendela A;grendel jendela;grendel jendela;09/11/2023;74000;2;148000;40%;88800
199473;mic 2001210;hak angin B;hak angin;hak angin/centolan jendela;09/11/2023;93500;2;187000;40%;112200
199473;mic 2012020;grendel pintu AC;grendel pintu;grendel pintu kembar;09/11/2023;40000;1;40000;40%;24000
199473;mic 1500061;engsel pintu & jendela;engsel pintu & jendela;engsel pintu & jendela;09/11/2023;345500;4;1382000;40%;829200
199474;mic 0500020;gagang pintu B;gagang pintu;gagang pintu besar(pintu 1 daun);10/11/2023;522500;1;522500;50%;261250
199474;mic 1500060;engsel pintu & jendela;engsel pintu & jendela;engsel pintu & jendela;10/11/2023;202000;3;606000;40%;363600
199474;mic 2012027;grendel pintu AC;grendel pintu;grendel pintu kembar;10/11/2023;82500;2;165000;30%;115500
199475;mic 2012081;grendel pintu AA;grendel pintu;grendel pintu;11/11/2023;56500;1;56500;30%;39550
199475;mic 2012027;grendel pintu AC;grendel pintu;grendel pintu kembar;11/11/2023;82500;1;82500;30%;57750
