no_Trans;no_item;item;kategori;ket;tgl;harga;qty;jumlah;diskon;total
185543;mic 1500052;engsel pintu & jendela;engsel pintu & jendela;engsel pintu & jendela;09/03/2024;140000;15;2100000;40%;1260000
185544;mic 2012080;grendel pintu AA;grendel pintu;grendel pintu;10/03/2024;40000;1;40000;30%;28000
185545;mic 2004000;grendel jendela A;grendel jendela;grendel jendela;13/03/2024;74000;2;148000;40%;88800
185545;mic 2001210;hak angin B;hak angin;hak angin/centolan jendela;13/03/2024;93500;2;187000;40%;112200
185545;mic 0506055;engsel pintu & jendela;engsel pintu & jendela;engsel pintu & jendela;13/03/2024;66000;3;198000;40%;118800
185546;mic 2001210;hak angin B;hak angin;hak angin/centolan jendela;13/03/2024;93500;2;187000;40%;112200
185546;mic 1500060;engsel pintu & jendela;engsel pintu & jendela;engsel pintu & jendela;13/03/2024;202000;1;202000;40%;121200
185546;mic 2004000;grendel jendela A;grendel jendela;grendel jendela;13/03/2024;74000;1;74000;40%;44400
185546;mic 1500050;engsel pintu & jendela;engsel pintu & jendela;engsel pintu & jendela;13/03/2024;73000;1;73000;40%;43800
185547;mic 0600508;gagang pintu DD;gagang pintu;gagang pintu kembar/pull handle;14/03/2024;471000;1;471000;40%;282600
185548;mic 0601347;gagang pintu DD;gagang pintu;gagang pintu kembar/pull handle;15/03/2024;422000;2;844000;40%;506400
185549;mic 0800001;anak kunci;anak kunci;anak kunci/cylinder;16/03/2024;201500;1;201500;PROMO;81000
185550;mic 0101040;lockcase 2;lockcase;lockcase/body kunci;17/03/2024;222000;1;222000;40%;133200
185550;mic 0700001;escushion 1;escushion;escushion/cover anak kunci;17/03/2024;86500;1;86500;30%;60550
185551;mic 0506100;gagang pintu S;gagang pintu;gagang pintu sedang(pintu 1 daun);18/03/2024;342000;1;342000;50%;171000
185552;mic 0800001;anak kunci;anak kunci;anak kunci/cylinder;19/03/2024;201500;1;201500;PROMO;81000
185553;mic 0600020;gagang lemari 1;gagang lemari;gagang lemari;20/03/2024;164500;1;164500;40%;98700
185554;mic 0506106;gagang pintu S;gagang pintu;gagang pintu sedang(pintu 1 daun);21/03/2024;283000;1;283000;40%;169800
185555;mic 0500025;gagang pintu B;gagang pintu;gagang pintu besar(pintu 1 daun);22/03/2024;483000;1;483000;PROMO;145000
185556;mic 0500026;gagang pintu B;gagang pintu;gagang pintu besar(pintu 1 daun);23/03/2024;483000;1;483000;PROMO;145000
185557;mic 0506105;gagang pintu S;gagang pintu;gagang pintu sedang(pintu 1 daun);25/03/2024;283000;1;283000;40%;169800
185558;mic 0506103;gagang pintu S;gagang pintu;gagang pintu sedang(pintu 1 daun);27/03/2024;342000;1;342000;50%;171000
185559;mic 2012020;grendel pintu AC;grendel pintu;grendel pintu kembar;28/03/2024;40000;1;40000;30%;28000
185560;mic 0600020;gagang lemari 1;gagang lemari;gagang lemari;28/03/2024;164500;2;329000;40%;197400
185561;mic 0600510;gagang pintu DD;gagang pintu;gagang pintu kembar/pull handle;29/03/2024;471000;1;471000;40%;282600
185562;mic 2012080;grendel pintu AA;grendel pintu;grendel pintu;29/03/2024;40000;2;80000;30%;56000
185563;mic 0506103;gagang pintu S;gagang pintu;gagang pintu sedang(pintu 1 daun);30/03/2024;342000;1;342000;50%;171000
185564;mic 0101033;lockcase 2;lockcase;lockcase/body kunci;30/03/2024;533000;1;533000;40%;319800
185564;mic 2012083;grendel pintu AA;grendel pintu;grendel pintu;30/03/2024;90500;2;181000;30%;126700
185564;mic 1500057;engsel pintu & jendela;engsel pintu & jendela;engsel pintu & jendela;30/03/2024;238000;3;714000;40%;428400
185565;mic 0101040;lockcase 2;lockcase;lockcase/body kunci;30/03/2024;222000;1;222000;40%;133200
185565;mic 0702005;escushion 1;escushion;escushion/cover anak kunci;30/03/2024;164500;1;164500;30%;115150
185566;mic 0506103;gagang pintu S;gagang pintu;gagang pintu sedang(pintu 1 daun);31/03/2024;342000;1;342000;50%;171000
185566;mic 1500056;engsel pintu & jendela;engsel pintu & jendela;engsel pintu & jendela;31/03/2024;159000;1;159000;40%;95400
185567;mic 2007007;tarikan lemari/laci;tarikan lemari/laci;tarikan lemari/laci;31/03/2024;119500;2;239000;30%;167300
185568;mic 2007007;tarikan lemari/laci;tarikan lemari/laci;tarikan lemari/laci;31/03/2024;119500;1;119500;30%;83650
185569;mic 0500025;gagang pintu B;gagang pintu;gagang pintu besar(pintu 1 daun);31/03/2024;483000;1;483000;PROMO;145000
185570;mic 2004000;grendel jendela A;grendel jendela;grendel jendela;31/03/2024;74000;1;74000;40%;44400
185570;mic 1500056;engsel pintu & jendela;engsel pintu & jendela;engsel pintu & jendela;31/03/2024;159000;2;318000;40%;190800
